"","Gene","norm.method","2D_2w_DMSO","2D_4w_DMSO","2D_4w_MRTX","3D_2w_DMSO","3D_2w_MRTX","3D_4w_DMSO","3D_4w_MRTX","T7_andrew","control","2D_2w_DMSO.wald.fdr","2D_4w_DMSO.wald.fdr","2D_4w_MRTX.wald.fdr","3D_2w_DMSO.wald.fdr","3D_2w_MRTX.wald.fdr","3D_4w_DMSO.wald.fdr","3D_4w_MRTX.wald.fdr","T7_andrew.wald.fdr","dependency"
"1","A1CF","loess",0.0444906875459099,-0.278228120320706,-0.0379101475485075,0.136469265806045,0.16916619415802,0.236866899243347,-0.0261587788841099,0,"",0.99443,0.52583,0.83727,0.99932,0.98753,0.70185,0.9724,NA,-0.0285059399492985
"2","AAK1","loess",0.392196956321271,0.135366644052753,0.150531299758743,0.179177753524823,0.387643562152153,0.0577613678930675,0.39006391629719,0,"",0.9508,0.80799,0.60038,0.99932,0.98753,0.995,0.40251,NA,-0.0817129617702637
"3","AANAT","loess",-0.120098276468528,-0.0522089340533658,-0.00916702621140241,-0.336990695290748,-0.349878512096781,-0.18768209767269,-0.258422458206484,0,"",0.98526,0.97212,0.9246,0.74923,0.6764,0.77419,0.48038,NA,-0.0925088931464858
"4","AATK","loess",-0.394493020098412,0.0713240961148462,0.126675624606511,-0.247578713942011,-0.0313002781664151,0.0893935150460161,0.852854076439465,0,"",0.93218,0.93565,0.81165,0.99932,0.98753,0.99664,0.20292,NA,-0.141860614437499
"5","ABAT","loess",-0.151827338260349,-0.116003482682173,0.553426671182497,-0.101980788153245,0.18882195455771,0.185165709580762,0.289597273774799,0,"",0.9786,0.96,0.13888,0.99932,0.99006,0.94292,0.57729,NA,0.00794244490299731
"6","ABCB1","loess",0.711384058319513,0.187466708005004,0.588224404402262,1.01940730887311,1.04087899391991,0.744255060307276,0.366623466172929,0,"",0.92118,0.83447,0.179,0.97109,0.81444,0.70191,0.51819,NA,-0.0291761288786786
"7","ABCC1","loess",0.267895366488706,-0.184655307154901,0.177002977294823,-0.145899320465432,-0.428515916927244,-0.238018236845222,-0.347249562390731,0,"",0.9243,0.88005,0.51298,0.99932,0.70112,0.784,0.44287,NA,-0.0292922687268059
"8","ABCC2","loess",-0.00697675556318288,-0.0444282245434135,-0.444411581576489,-0.148723608075097,-0.115562686044871,-0.151384848974842,-0.135724095222105,0,"",0.99928,0.95539,0.27755,0.99932,0.98753,0.86798,0.82365,NA,-0.00125078584150044
"9","ABCG2","loess",-0.0669070890585854,0.302601698969576,0.426493414854017,0.210080488345738,0.273350916868547,0.152266180535818,0.12330638948489,0,"",0.99443,0.63848,0.26922,0.99932,0.98753,0.96035,0.81559,NA,0.0467225263045064
"10","ABL1","loess",0.00316246795505537,-0.507372844511308,-0.0519339614894764,-0.306614543753488,-0.178494239467615,-0.23034213678044,0.0105614580472715,0,"",0.99928,0.33735,0.99761,0.95536,0.98753,0.784,0.97796,NA,0.0266179583583441
"11","ABL2","loess",0.437162828269555,0.363427133303826,0.108383185314706,0.417109396222541,0.468964634574924,-0.169320258114558,0.262823080429006,0,"",0.91559,0.49142,0.60897,0.99932,0.97591,0.88899,0.51913,NA,0.0474644953368552
"12","ACACA","loess",0.677822347910081,0.172363056832021,-0.0193353633331702,0.0274158093982832,-0.0565826760768928,-0.575034173208278,-0.577454001522043,0,"",0.77735,0.76762,0.91955,0.99932,0.98753,0.67112,0.46333,NA,-0.179818559205437
"13","ACAT1","loess",0.203406943834555,0.617133249590425,0.595395724333728,0.425594269947158,0.460824763695495,0.333606784533912,0.373560264064727,0,"",0.99522,0.45627,0.19145,0.99932,0.98753,0.90424,0.5388,NA,-0.0920122909728533
"14","ACE","loess",0.92353241670466,0.956703031320695,0.121321363887137,0.517166389319039,0.68305908613578,0.406045104416509,0.584282608216182,0,"",0.89128,0.35058,0.70831,0.99932,0.98753,0.89653,0.3978,NA,-0.00540469481139953
"15","ACHE","loess",0.418251245799169,0.66013249001736,0.66741655219225,0.0341564908488962,0.302024335920374,0.0596778776595486,0.000601007562401973,0,"",0.94979,0.24662,0.074292,0.99932,0.98753,0.99471,0.93841,NA,-0.0842373907762453
"16","ACLY","loess",-0.407585966107358,-0.791257014083175,-0.629181954792031,-0.115824131306442,-0.0645301281346098,-0.0953410649757392,-0.194861740600645,0,"",0.51799,0.0014915,0.015222,0.99932,0.98753,0.88201,0.5868,NA,-0.50448641109327
"17","ACTA2","loess",0.387696400161553,0.418087025412807,0.0882130919460197,0.273427169861488,0.199466886623305,0.276244081670866,-0.0633084556760372,0,"",0.91281,0.35892,0.60359,0.99932,0.98753,0.86183,0.99509,NA,0.0263291719641603
"18","ACTB","loess",-1.36912663009587,-1.14832078216855,-1.06390208926531,-1.14739657318642,-1.08680885764478,-1.04483076663865,-1.29245430100043,0,"",0.010443,0.0064475,0.01157,0.20623,0.17465,0.085348,0.011758,NA,-0.96969275136865
"19","ACTL6A","loess",-1.0367364897317,-1.27889577534218,-1.10537121503129,-0.649434405233758,-0.908905999531626,-0.847561705942831,-0.836654409186609,0,"essential",0.11492,0.0035544,0.015293,0.82279,0.37544,0.23743,0.15628,NA,-1.552802085546
"20","ACTL6B","loess",-0.0156285117969217,0.0684296089919528,0.516559740903659,0.150672394150733,0.316399409134928,0.102201360486447,0.695336998129202,0,"",0.99443,0.94199,0.30571,0.99932,0.98753,0.99471,0.29379,NA,0.115764895816304
"21","ACTR5","loess",-0.92254203374434,-1.34138350393144,-0.566196442349409,-0.415792551190482,-0.21477993011706,-0.52796003104454,-0.044882507622733,0,"",0.0098534,1.5614e-07,0.074327,0.77593,0.98605,0.23743,0.92926,NA,-0.2376003855453
"22","ACTR6","loess",-1.08983029007795,-1.02116858492795,-1.45361211770814,-1.05481666814982,-0.948262422413237,-1.29496057931304,-1.24495933740985,0,"",0.011178,0.0014915,9.1285e-07,0.10221,0.10667,0.0016986,0.0011516,NA,-1.21703581217447
